"Name","X1_aq.mzML","X13_aq.mzML","X133_aq.mzML","X134_aq.mzML","X135_aq.mzML","X136_aq.mzML","X140_aq.mzML","X142_aq.mzML","X143_aq.mzML","X144_aq.mzML","X146_aq.mzML","X147_aq.mzML","X148_aq.mzML","X150_aq.mzML","X161_aq.mzML","X162_aq.mzML","X164_aq.mzML","X167_aq.mzML","X168_aq.mzML","X169_aq.mzML","X170_aq.mzML","X172_aq.mzML","X173_aq.mzML","X174_aq.mzML","X175_aq.mzML","X176_aq.mzML","X16_aq.mzML","X17_aq.mzML","X18_aq.mzML","X19_aq.mzML","X20_aq.mzML","X21_aq.mzML","X22_aq.mzML","X2_aq.mzML","X23_aq.mzML","X25_aq.mzML","X26_aq.mzML","X27_aq.mzML","X29_aq.mzML","X30_aq.mzML","X31_aq.mzML","X32_aq.mzML","X33_aq.mzML","X3_aq.mzML","X35_aq.mzML","X36_aq.mzML","X40_aq.mzML","X41_aq.mzML","X42_aq.mzML","X43_aq.mzML","X45_aq.mzML","X46_aq.mzML","X5_aq.mzML","X48_aq.mzML","X49_aq.mzML","X151_aq.mzML","X152_aq.mzML","X155_aq.mzML","X156_aq.mzML","X6_aq.mzML","X51_aq.mzML","X52_aq.mzML","X53_aq.mzML","X54_aq.mzML","X56_aq.mzML","X58_aq.mzML","X59_aq.mzML","X60_aq.mzML","X61_aq.mzML","X62_aq.mzML","X7_aq.mzML","X63_aq.mzML","X66_aq.mzML","X68_aq.mzML","X69_aq.mzML","X71_aq.mzML","X73_aq.mzML","X75_aq.mzML","X76_aq.mzML","X77_aq.mzML","X78_aq.mzML","X8_aq.mzML","X80_aq.mzML","X81_aq.mzML","X82_aq.mzML","X83_aq.mzML","X84_aq.mzML","X85_aq.mzML","X86_aq.mzML","X88_aq.mzML","X90_aq.mzML","X10_aq.mzML","X93_aq.mzML","X101_aq.mzML","X103_aq.mzML","X104_aq.mzML","X107_aq.mzML","X109_aq.mzML","X112_aq.mzML","X115_aq.mzML","X11_aq.mzML","X122_aq.mzML","X123_aq.mzML","X124_aq.mzML","X125_aq.mzML","X127_aq.mzML","X128_aq.mzML","X129_aq.mzML","X130_aq.mzML","X131_aq.mzML","X132_aq.mzML"
"Leuconostoc pseudomesenteroides",0.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pediococcus pentosaceus",0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.505,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus thermophilus",0.269,0.053,0,0,0,0.845,0.041,0.065,0.013,0.017,0,0.01,0,0,0,0,0,0.01,0,0.014,0.012,0.074,0,1.08,0.039,0.017,0,0.178,0.058,0,0,0,0,0,0,0,0,0.166,0.046,0.013,0.02,0.055,0.048,0,0.025,0,0.084,0,0,0,0.045,0,0.179,0,0,0.053,0.085,0,0.073,0.027,0.054,0,0.927,0,0.038,0,0,0.126,0.009,0,0,0.104,0,0.192,0.031,0.472,0.03,0,0,0.25,0,0.012,0,0.018,0.296,0,0.88,0.011,0.011,0.009,0,0.011,0,0,0,0,0.109,0.016,0.167,0,0,0,0,0.007,0,0,0.033,0.051,0,0,0.058
"Streptococcus sp.",0.018,0.015,0,0,0,0.03,0.011,0,0.012,0.043,0,0,0,0,0,0,0,0.039,0,0,0.045,0.021,0,0.04,0.026,0,0,0.025,0,0.02,0,0,0,0,0.027,0,0,0.009,0,0.019,0.029,0,0.042,0.019,0,0,0,0,0.01,0,0.012,0,0.026,0,0,0,0,0.011,0.014,0,0,0.012,0.046,0,0.018,0,0.012,0.312,0,0.013,0,0,0.02,0.024,0,0.028,0.008,0.009,0,0.033,0,0,0,0.043,0.021,0,0.054,0,0,0.026,0.009,0.015,0,0.011,0,0.015,0.404,0.08,0,0,0,0,0,0,0,0.017,0.133,0.009,0,0,0
"Streptococcus sp. CCH5-D3",0.013,0.061,0.01,0,0.015,0.018,0.038,0.015,0.033,0.19,0.012,0,0.019,0,0.018,0,0.012,0.073,0.012,0.012,0.179,0.059,0.011,0.027,0.095,0.018,0.019,0.086,0.013,0.051,0,0.016,0.019,0,0.064,0.018,0.024,0,0,0.045,0.092,0,0.107,0.053,0,0,0.014,0,0.026,0,0.025,0.027,0.066,0,0,0.013,0,0.028,0.037,0,0.042,0.037,0.046,0,0.042,0,0.026,1.137,0.023,0.029,0.018,0,0.064,0.06,0,0.043,0.026,0.027,0,0.098,0.019,0,0.019,0.105,0.027,0.024,0.073,0.027,0.02,0.077,0.028,0.052,0,0.031,0.024,0.054,1.255,0.191,0.011,0.01,0.01,0,0,0,0,0.038,0.334,0.017,0.016,0,0
"Streptococcus salivarius",0.026,0.05,0.008,0,0.024,0.032,0.069,0.019,0.055,0.11,0.018,0,0.011,0,0.029,0,0.016,0.169,0.03,0.02,0.139,0.072,0.028,0.038,0.098,0.019,0.041,0.054,0.027,0.123,0.023,0.018,0.032,0,0.121,0.025,0.06,0.01,0,0.075,0.143,0,0.212,0.079,0,0,0.017,0,0.047,0.007,0.062,0.027,0.116,0,0,0.014,0,0.025,0.035,0.018,0.02,0.049,0.067,0,0.049,0,0.044,1.033,0.009,0.044,0.029,0.016,0.067,0.108,0.012,0.049,0.032,0.036,0.021,0.091,0.03,0.015,0.035,0.236,0.044,0.056,0.126,0.022,0.024,0.082,0.028,0.073,0,0.052,0.016,0.058,1.756,0.331,0.014,0.012,0,0,0,0,0,0.085,0.758,0.031,0.02,0,0
"Streptococcus mitis",0.03,0,0,0.018,0,0,0,0,0,0.011,0.017,0,0.017,0,0.011,0,0.037,0.022,0.014,0,0.022,0,0.014,0.028,0.013,0.03,0,0,0,0.017,0,0,0,0,0.014,0,0,0,0,0,0.016,0,0,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024,0.029,0,0,0,0,0.039,0.02,0.024,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0.013,0,0,0.016,0,0,0,0,0,0,0,0,0,0.049,0,0,0,0,0,0.014,0,0.019,0,0.058,0,0.024,0,0
"Streptococcus vestibularis",0.015,0.012,0.01,0,0,0.031,0.012,0,0.009,0.028,0.011,0,0.014,0,0,0,0.007,0.033,0,0,0.034,0.016,0,0.036,0.018,0,0.008,0.021,0.01,0.017,0.014,0,0,0,0.042,0,0,0.008,0,0.096,0.02,0,0.045,0.008,0,0,0,0,0.012,0,0.01,0.008,0.031,0,0,0,0,0,0.009,0,0.009,0.01,0.045,0,0.01,0,0.01,0.21,0.007,0.022,0,0.012,0.014,0.026,0,0.027,0.011,0,0,0.039,0,0,0,0.053,0.017,0,0.052,0,0,0.022,0,0.013,0,0.008,0,0.012,0.321,0.055,0.01,0,0,0,0,0,0,0.011,0.106,0.009,0,0,0
"Lactococcus lactis",0.117,0,0,0,0,0,0,0,0.042,0,0,0.014,0.081,0,0,0,0,0.031,0.082,0,0,0,0,0.037,0,0,0,0.019,0,0.009,0,0,0,0,0,0,0.008,0.01,0.053,0,0.153,0.012,0.042,0,0,0,0,0,0,0,0.069,0,0,0,0,0,0.02,0,0.01,0,0,0,0.278,0.025,0,0,0,0.01,0.009,0,0,0.18,0,0.012,0.012,0,0.011,0,0,0.19,0,0.016,0,0,0.038,0,0.008,0,0.01,0.008,0,0.009,0,0,0.011,0,0.019,0,0.028,0,0,0,0,0,0,0,0,0,0,0,0
"Enterococcus faecium",0.049,0,0,0,0,0,0.012,0,0,0.158,0,0,0,0,0,0,0.018,0,0,0,0,0,0.017,0.025,0.071,3.634,0,0,0,0,0,0,0,0,0,0,0.084,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0.009,0,0,0,0.014,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0.128,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0.029,0.033,0,0,0.735,0,0,0.379,0,0,0.05,0,0,0,0,0.165
"Enterococcus faecalis",0.028,0,0,0,0,0,0,0,0,0.045,0,0,0,0,0,0,22.552,0,0,0,0,0,0,0,0,0.123,0,0,0,0,0,0,0,0,0,0,0.402,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,0,0,0,0,0,0,0,0,0,0,0.399,0,0,0,0,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterococcus durans",0.008,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0.007,0.01,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.02,0,0,0,0,0,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091,0,0,0,0,0,0,0,0,0,0.022,0,0,0,0,0,0,0,0,0,0,0.008
"uncultured Solobacterium sp.",0.564,0.261,0.094,0.178,0.059,0.088,0.075,0.06,0.199,0.07,0.034,0.02,0.104,0.044,0.016,0.013,0,0.104,0.096,0.062,0.04,0.169,0.062,0.074,0.073,0.038,0.097,0.156,0.07,0.12,3.713,0.063,0.059,0.058,0.413,0.397,0.746,0.156,0.081,0.207,1.71,0.054,0.191,0.062,0.239,0.308,0.841,0.051,0.676,0.028,0.113,0.67,0.368,0.033,0.489,1.911,1.68,0.111,0.057,0.405,0.046,0.078,0.088,0.141,0.033,0.077,0.029,0.441,0.063,0.473,0.355,1.396,0.136,0.125,0.631,0.07,0.076,0.048,0.046,0.246,0.064,0.07,0.037,0.047,0.943,0.058,1.324,0.051,0.07,0.052,0.98,0.065,0.137,0.011,0.054,0.052,0.08,0.101,0.051,0.016,0.038,0.034,0.014,0.063,0.021,0.043,0.126,0.53,0.039,0.017,0.032
"Holdemanella biformis",0.269,0.01,0,0,0,0,0,0,0.096,0,0,0.008,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.012,0.009,0,1.36,0.016,0,0,0.266,0.124,0.604,0.065,0.029,0,1.47,0,0,0,0.037,0.149,0.666,0,0.322,0,0.01,0.509,0.163,0,0.131,1.597,1.261,0,0,0.153,0,0,0,0,0,0,0,0.147,0.014,0.324,0.135,0.998,0.093,0,0,0.008,0,0,0,0,0,0,0,0,0.594,0,0.588,0,0,0,0.718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171,0,0,0
"uncultured Erysipelotrichaceae bacterium",0.151,0.026,0.05,0.015,0,0.006,0.023,0.017,0,0.09,0.032,0,0.077,0,0.035,0,0,0.184,0.109,0.139,0,0.136,0.059,0.192,0,0,0.046,0.214,0.04,0.084,0.019,0.021,0.01,0.011,0.011,0.012,0.018,0,0.007,0,0.039,0.014,0.021,0.067,0,0.013,0.059,0.302,0.012,0,0,0.012,0.031,0.052,0.023,0.045,0.042,0.094,0.064,0.014,0.06,0.026,0.01,0,0.025,0,0,0,0,0.019,0.008,0.102,0,0.017,0.042,0.06,0.01,0.11,0.037,0.038,0.238,0,0.105,0.007,0.094,0.024,0.183,0,0.015,0.011,0.011,0.082,0.11,0.075,0.064,0.144,0.14,0.028,0,0,0.01,0.019,0,0.026,0,0.098,0,0.012,0.007,0.028,0.058
"Erysipelatoclostridium sp. AM42-17",0.015,0,0,0,0,0,0,0,0,0.018,0,0.006,0,0,0,0,0,0.03,0.006,0.018,0,0.017,0,0.009,0,0,0,0.027,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0.007,0.034,0,0.018,0,0,0,0.011,0,0,0,0,0,0.016,0,0.01,0.023,0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011
"[Clostridium] saccharogumia",0.013,0.017,0,0,0,0.017,0.009,0,0,0,0,0.008,0,0,0,0,0,0,0,0.022,0,0,0,0,0,0,0.008,0.012,0,0.082,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0,0,0,0.018,0,0.008,0,0,0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.011,0.01,0,0,0,0.007,0,0,0,0,0,0.022,0.009,0,0.008,0.019,0,0
"[Clostridium] innocuum",0.008,0.028,0,0.009,0.075,0.166,0.059,0.015,0,0.025,0.043,0.949,0,0.139,0.04,0.186,0,0.072,0,0.013,0.502,0.045,0.04,0.274,0.126,0.018,0,0.048,0,0.015,0.039,0,0.095,0.095,0.009,0,0.013,0,0.011,0.015,0.076,0.076,0,0.042,0,0,0.01,0.019,0.019,0.241,0.175,0.008,0.008,0.008,0.026,0.051,0.049,0.013,0.027,0.012,0,0.056,0.252,0,0.007,0.034,0.76,0,0.047,0,0.021,0.104,0,0.106,0.014,0.112,0.01,0,0.013,0.096,0.073,0.019,0.01,0.032,0.036,0.011,0.01,0.101,0.058,0,0.014,0.009,0.021,0.051,0.028,0,0.026,0.018,0.085,0,0,0.015,0,0,0.023,0.053,0.569,0,0.069,0,0.011
"Faecalitalea cylindroides",0.033,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0.028,0,0,0,0,0,0,0,0,0,0,0,0,0.113,0,0,0,0,0,0,0,0,0,0,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0,0.008,0,0,0,0,0,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0
"Catenibacterium sp. co_0103",0.022,0,0,0.017,0,0,0.022,0.009,0.403,0.011,0.009,0.016,0.013,0.01,0,0,0,0.012,0.01,0,0.014,0,0.023,0.013,0.606,0.113,0,0.028,0,0.05,0,0,0.015,0.042,0.596,0.008,1.028,0.801,0,0,0.046,0.022,0,0.017,0.835,2.125,0,0.013,0.015,0,0.037,0,0,0,1.393,0.453,1.376,0.026,0.017,0.162,0.008,0.012,0.022,1.479,0,0,0,0.492,0,1.301,0.531,0,0.401,0.01,0,0,1.537,0,0,0.009,0.028,0,0,0.212,0.017,1.328,0,0.008,0,0,0.123,0.022,0.009,0.007,0,0,0,0,0.026,0,0.021,0.01,0,0,0,0.008,0,0.017,0,0,0
"uncultured Catenibacterium sp.",0.008,0,0.017,0,0.007,0,0.013,0,0.206,0.008,0.011,0,0,0.006,0,0,0,0.013,0,0.008,0,0,0,0.008,0.16,0.029,0,0.012,0.018,0,0,0,0,0,0.228,0.026,0.487,0.271,0,0,0.018,0,0.046,0,0.285,0.652,0.012,0,0.006,0,0,0.119,0.023,0,0.461,0.142,0.382,0,0,0.183,0,0,0,0.536,0,0,0,0.331,0,0.46,0.185,0,0.386,0,0,0,0.523,0,0,0,0.012,0.007,0.013,0.098,0.006,0.606,0,0,0,0,0.151,0,0,0,0,0,0,0,0,0,0,0.013,0,0,0,0,0,0,0,0.162,0
"Coprobacillus cateniformis",0.009,0.014,0,0,0.018,0.014,0.015,0,0,0,0,0,0,0,0,0,0,0.44,0,0,0,0,0,0.008,0,0,0.011,0.023,0,0.048,0,0,0.024,0.007,0,0,0.011,0.007,0,0.009,0,0,0,0,0.022,0,0.022,0,0,0,0.013,0,0,0,0,0,0.008,0,0,0,0,0,0.04,0,0,0,0.031,0,0.007,0,0,0.05,0,0.008,0,0,0,0,0,0,0,0,0,0.015,0,0,0,0,0.007,0,0,0.009,0,0.016,0,0,0.018,0.011,0.009,0,0,0.007,0,0,0,0,0,0.007,0,0,0.011
"Firmicutes bacterium CAG:194",0.034,0,0.012,0,0,0,0.114,0,0.048,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0.018,0,0,0,0,0,0,0,0,0,0.325,0.015,0,0,0,0.156,0.632,0,0.845,0.73,0.141,0,0.177,0,0,0,0,0,0.01,0.028,0.008,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0.331,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0.033,0.008,0,0,0,0,0.032,0,0,0,0,0.032,0,0,0,0,0,0,0,0,0
"Firmicutes bacterium CAG:83",0.01,0.122,0.021,0.269,0.168,0,0,0.047,0.012,0,0,0,0.194,0,0,0,0,0,0,0.016,0,0,0.057,0.012,0,0,0.014,0.036,0.032,0.027,0,0,0.783,0.028,0.008,0.019,0.485,0.038,0.033,0.052,0.079,0.016,0.007,0,0.095,0.009,0.018,0.123,0.017,0.083,0.015,0.01,0.046,0.032,0.025,0.043,0.063,0.039,0.677,0.036,0.031,0,0,0,0.057,0.389,0,0,0,0.021,0,0.095,0,0.1,0.216,0.076,0.116,0.042,0.164,0.538,0.056,0.035,0,0.057,0.01,0.013,0,0,0.111,0,0.081,0.047,0.129,0,0.067,0,0.159,0.105,0,0,0.023,0.047,0,0,0,0.01,0,0.014,0,0,0.072
"Bifidobacterium adolescentis",2.048,13.134,0,1.422,0.06,0,2.026,0,0.017,2.453,0,0,1.845,0,0.011,4.906,0.431,5.56,7.786,0.917,0.026,0,2.428,0.124,2.365,0.436,2.176,0,0,2.657,1.972,0.036,1.576,0.03,0.579,0.385,0.053,0.103,0.101,6.629,0.788,0,0.449,0,0.174,4.553,2.295,0,0.178,0,1.789,5.585,0.088,0.138,0,0.422,1.251,0,2.547,0.074,0,0.076,0.038,0.324,0.057,0.047,0.021,0.513,0.647,0,2.064,1.981,0.874,9.229,1.213,0,1.719,0.009,0.851,1.545,0.291,0,0.245,0.241,0.248,0.431,0.022,0.025,1.354,4.382,0.368,0.546,0.39,0,0,0,0.175,1.612,0.341,1.94,0.505,0.043,0,1.936,0,0.204,0,5.142,0.302,0.127,0.661
"Bifidobacterium catenulatum",1.528,1.47,0,0.076,0.948,0.175,0.139,0.009,0.029,0.176,0.064,0,0.151,0.033,1.248,1.391,1.028,0.308,1.24,0.18,0.211,0.01,0.187,2.828,0.149,0.06,0.128,0.126,0,0.09,1.272,0.021,0.539,1.016,0.022,0.02,0.009,0,0.06,5.551,1.201,0.679,0.029,0.012,0,0.64,0.107,0,0.016,0.088,0.167,0.221,0.098,0.015,0,0.021,0.038,0.117,5.248,0.053,0.076,0.078,0.015,0.026,0.03,0,0.605,0.128,0.142,0,0.071,0.358,0.047,0.293,0.063,0.011,0.222,0.264,0.06,2.09,0.021,0,0.259,0.293,1.476,0.405,1.686,0.504,1.426,1.111,0.028,0.068,0.163,0,0.09,0.582,0.028,0.105,0.785,0.151,0.034,0,0.013,0.923,0.279,2.135,0,0.354,0.212,0.031,0.059
"Bifidobacterium longum",1.018,1.317,0.108,0.785,0.581,0.103,0.147,0.137,0.011,3.837,0.326,0,3.322,1.859,0.218,13.232,5.794,2.804,6.205,0.527,9.921,0.55,0.752,1.46,0.852,0.175,0.715,0.377,0,0.616,1.534,0.161,3.703,0.949,0.043,0.332,0.167,0.033,0.217,1.97,0.821,0.054,0.375,1.634,0,0.071,0.198,0,0.156,0,2.594,1.642,0.117,0.744,0.095,0.069,0.514,0.193,4.448,0.061,0.059,4.016,3.293,0.082,0.038,0.115,0.469,0.017,1.356,0.008,0.252,0.276,0.204,0.287,0.722,0.198,0.157,0.366,0.32,1.453,0.611,0,0.757,2.257,1.155,0.441,0.746,3.829,1.258,3.405,0.107,0.721,0.323,0.007,4.521,0.221,0,0.198,0.627,0.024,0.168,0,0.312,0.588,0.045,1.134,0.014,3.04,0.242,0.17,1.768
"Bifidobacterium pseudocatenulatum",0.241,0.166,0,0.056,0.794,0.02,0.021,0.015,0.083,0.062,0.271,0,0.022,0,0.105,5.27,3.471,0.071,0.41,0.021,0.034,0,0.528,0.942,0.032,0.025,0.219,0.6,0,0.033,0.083,0.087,0.885,5.873,0,0,0,0,0,0.519,0.144,0.041,0,0.011,0,0.051,0.077,0,0,0.036,0.034,0.064,0.009,0,0,0,0.008,0.45,0.859,0.008,0.332,0.012,0,0,0.194,0,3.104,0.124,0.195,0.011,0.025,0.035,0.012,0.09,0.012,0,0.049,1.569,0.076,0.21,0,0,1.051,1.297,1.831,0.459,0.293,1.527,0.124,0.15,0,0.248,0.63,0,0,0.036,0.04,0.101,1.107,0.036,0.009,0,0,0.162,0.082,0.293,0,0.101,1.023,0.106,0
"Bifidobacterium ruminantium",0.164,0.731,0,0.089,0.013,0,0.204,0,0,0.252,0,0,0.181,0,0,0.483,0.1,0.576,0.784,0.092,0.016,0,0.212,0.03,0.137,0.024,0.24,0,0,0.289,0.194,0,0.131,0.021,0.055,0.031,0,0.01,0.011,0.683,0.076,0,0.03,0,0.016,0.308,0.169,0,0.019,0,0.183,0.481,0.011,0.016,0,0.045,0.111,0.007,0.287,0.007,0,0.008,0.014,0.052,0,0,0.014,0.051,0.066,0,0.172,0.171,0.075,0.857,0.113,0,0.165,0,0.038,0.147,0.036,0,0.029,0.032,0.035,0.044,0,0.012,0.06,0.383,0.036,0.066,0.041,0,0,0,0.018,0.164,0.038,0.096,0.051,0,0,0.173,0,0.024,0,0.343,0.036,0.014,0.073
"Bifidobacterium sp. N4G05",0.074,0.117,0,0.024,0.073,0.012,0.074,0,0.018,0.1,0.019,0,0.101,0,0.079,0.347,0.236,0.092,0.25,0.025,0.018,0,0.036,5.984,0.021,0.077,0.084,0.036,0,0.035,0.099,0.009,0.082,0.294,0,0.015,0,0,0,0.327,0.054,0.025,0,0,0,0.066,0.027,0,0,0.205,0.024,0.068,0,0,0,0,0.01,0.043,0.27,0,0.027,0,0,0,0.012,0,0.172,0.04,0.022,0,0.061,0.054,0.018,0.086,0.024,0,0.063,0.115,0.011,0.088,0.009,0,0.072,0.09,0.135,0.048,0.069,0.096,0.075,0.185,0.011,0.024,0.061,0,0.064,0.036,0,0.027,0.082,0.041,0,0,0,0.055,0.014,0.076,0,0.095,0.074,0.009,0.019
"Bifidobacterium sp. UBA6881",0.012,0.061,0,0.007,0,0,0.01,0,0,0.013,0,0,0.009,0,0,0.042,0.009,0.037,0.046,0,0,0,0.009,0.021,0.007,0,0.012,0,0,0.017,0.012,0,0.008,0.01,0,0,0,0,0,0.042,0,0,0,0,0,0.019,0.012,0,0,0,0.013,0.028,0,0,0,0,0.007,0,0.022,0,0,0,0,0,0,0,0.007,0,0,0,0.012,0,0,0.047,0,0,0.01,0,0,0.01,0,0,0,0,0.007,0,0,0,0.006,0.021,0,0,0,0,0,0,0,0.009,0,0.007,0,0,0,0.008,0,0,0,0.023,0,0,0
"Bifidobacterium merycicum",0.033,0.075,0,0.032,0.013,0,0.018,0.009,0,0.031,0,0,0.018,0,0,0.122,0.047,0.057,0.08,0.01,0.007,0,0.059,0.021,0.012,0,0.018,0.009,0,0.031,0.021,0,0.024,0.04,0,0,0,0,0.086,0.072,0.057,0,0,0,0,0.041,0.095,0,0.038,0,0.02,0.056,0.022,0,0,0,0.013,0.006,0.231,0,0,0,0,0.069,0,0,0.018,0.01,0.008,0,0.017,0.018,0.037,0.1,0.056,0,0.016,0.01,0.008,0.024,0,0,0.02,0.02,0.02,0.017,0,0.014,0.026,0.081,0.031,0,0.008,0,0,0,0,0.012,0.019,0.022,0,0,0,0.019,0,0.013,0,0.041,0.015,0,0
"Bifidobacterium breve",0.028,0.157,0,0.037,0.018,0.045,0.01,0,0,0.136,0.011,0,0.104,0.052,0.015,1.312,0.107,0.067,0.385,0.02,0.86,0.012,0.013,0.134,0.03,0,0.025,0.01,0,0.015,0.039,0,0.11,0.032,0,0.009,0,0,0,0.071,0.017,0,0,0.029,0,0,0.017,0,0,0,0.088,0.06,0,0.016,0,0,0.01,0,0.15,0,0,0.1,0.155,0,0,0,0.025,0,0.031,0,0.007,0.012,0.016,0.023,0.019,0,0.012,0.008,0.012,0.044,0.018,0,0.033,0.076,0.036,0.012,0.018,0.084,0.044,0.115,0,0.019,0.011,0,0.108,0.013,0,0.013,0.013,0.006,0,0,0.007,0.027,0,0.037,0,0.131,0.011,0,0.061
"Bifidobacterium angulatum",0.018,0.16,0,0.368,0.013,0,0.013,0.167,0,0.019,0,0,0.024,0,0,0.056,0.054,0.056,0.045,0.007,0,0,0.019,0.033,0.026,0,0.014,0,0,0.016,0.029,0.109,0.052,0.054,0,0,0,0,1.971,0.062,0.838,0,0,0,0,0.262,1.421,0,0.783,0,0.03,0.045,0.489,0,0,0,0.009,0,4.141,0,0,0.007,0.017,0.945,0,0,0,0.126,0.038,0,0.018,0.012,0.393,0.076,0.69,0,0.016,0.014,0.006,0.014,0.008,0,0,0,0.013,0.116,0.012,0.007,0.01,0.622,0.503,0,0.015,0,0.009,0,0,0.009,0.012,0.009,0,0,0,0.015,0,0.016,0,0.216,0,0,0.01
"Bifidobacterium moukalabense",0.013,0.036,0,0,0,0,0.006,0,0,0.011,0,0,0.008,0,0,0.027,0.014,0.019,0.033,0,0,0,0.009,0.035,0,0,0.009,0,0,0.01,0.007,0,0.009,0.015,0,0,0,0,0,0.038,0,0,0,0,0,0.017,0.009,0,0,0,0.007,0.022,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0.007,0,0,0,0,0,0,0.024,0,0,0.007,0,0,0.014,0,0,0,0,0.006,0,0,0.006,0.006,0.018,0,0,0,0,0,0,0,0.007,0,0,0,0,0,0.006,0,0.008,0,0.016,0,0,0
"Bifidobacterium imperatoris",0.014,0.009,0,0,0,0,0,0,0,0.016,0,0,0.012,0,0,0.088,0.055,0.014,0.014,0,0.026,0,0,0.008,0.016,0,0,0,0,0,0.01,0,0.01,0,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0.009,0,0,0,0,0,0,0.016,0,0,0,0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0.039,0,0.013,0,0,0,0,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0.021,0,0,0
"Bifidobacterium dentium",0.011,0.059,0,0,0,0,0.008,0,0,0.01,0,0,0.014,0,0,0.048,0.035,0.02,0.054,0,0.032,0,0.008,0.083,0.006,0,0.009,0,0,0.016,0.01,0,0.012,0.014,0,0.029,0.061,0,0,0.078,0.009,0,0.007,0,0,0.055,0.008,0,0,0,0.007,0.026,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0.044,0.028,0.111,0,0,0.009,0,0,0.031,0.007,0,0.008,0.007,0.026,0.011,0,0,0,0,0.009,0,0.006,0.01,0.007,0.024,0,0,0,0,0,0,0,0.009,0.006,0,0,0,0.022,0.011,0,0.006,0,0.016,0,0,0
